TransactionDate,BillNumber,PaymentToken,TypeOperation,Amount,Payment,Fee,Currency,Partner,Product,ProductType,Unnamed: 11,Unnamed: 12
23.09.2023 23:57,538740,0142906188-0001,ISSUED,8576,8567.42,8.58,KZT,FASTCASH,credit,credit 12 months,,
23.09.2023 16:24,538066,69562192-0019,ISSUED,89108,89018.89,89.11,KZT,FASTCASH,credit,credit 12 months,,
23.09.2023 23:26,538709,0139167828-0002,ISSUED,13220,13206.78,13.22,KZT,EUABFIS,credit,credit 3 months,,
23.09.2023 22:42,538659,0142313589-0006,ISSUED,10445,10434.55,10.45,KZT,EUABFIS,credit,credit 3 months,,
23.09.2023 22:15,538637,79624803-0012,ISSUED,11986,11974.01,11.99,KZT,HALYK,credit,credit 6 months,,
23.09.2023 22:08,538630,0140730205-0006,ISSUED,59381,59321.62,59.38,KZT,FASTCASH,credit,credit 24 months,,
23.09.2023 21:55,538614,0142781195-0002,ISSUED,12300,12287.7,12.3,KZT,FASTCASH,credit,credit 12 months,,
23.09.2023 21:49,538608,0142325776-0006,ISSUED,82383,82300.62,82.38,KZT,HALYK,credit,credit 36 months,,
23.09.2023 21:41,538598,0142897221-0002,ISSUED,11518,11506.48,11.52,KZT,HALYK,credit,credit 6 months,,
23.09.2023 21:39,538596,0142898133-0001,ISSUED,8047,8038.95,8.05,KZT,EUABFIS,credit,credit 3 months,,
23.09.2023 21:29,538587,0142082295-0003,ISSUED,17147,17129.85,17.15,KZT,FASTCASH,credit,credit 12 months,,
23.09.2023 21:22,538578,0142781874-0013,ISSUED,31336,31304.66,31.34,KZT,EUABFIS,credit,credit 6 months,,
23.09.2023 21:18,538572,79357109-0001,ISSUED,10090,10079.91,10.09,KZT,FASTCASH,credit,credit 12 months,,
23.09.2023 21:07,538559,0118881130-0067,ISSUED,37972,37934.03,37.97,KZT,FASTCASH,credit,credit 12 months,,
23.09.2023 21:00,538547,0142890642-0003,ISSUED,261816,261554.18,261.82,KZT,HALYK,credit,credit 36 months,,
23.09.2023 20:56,538544,0137493330-0005,ISSUED,19313,19293.69,19.31,KZT,EUABFIS,credit,credit 3 months,,
23.09.2023 20:08,538483,59049825-0001,ISSUED,127187,127059.81,127.19,KZT,HALYK,credit,credit 36 months,,
23.09.2023 19:50,538456,0138042976-0002,ISSUED,20880,20859.12,20.88,KZT,EUABFIS,credit,credit 6 months,,
23.09.2023 19:40,538444,0142890642-0001,ISSUED,176899,176722.1,176.9,KZT,HALYK,credit,credit 36 months,,
23.09.2023 19:28,538423,0130514616-0011,ISSUED,14346,14331.65,14.35,KZT,HALYK,credit,credit 6 months,,
23.09.2023 19:25,538412,0122520671-0009,ISSUED,15229,15213.77,15.23,KZT,HALYK,credit,credit 6 months,,
23.09.2023 19:12,538394,0142588227-0004,ISSUED,34793,34758.21,34.79,KZT,EUABFIS,credit,credit 3 months,,
23.09.2023 19:08,538386,0142440190-0002,ISSUED,13687,13673.31,13.69,KZT,FASTCASH,credit,credit 12 months,,
23.09.2023 18:56,538364,0130514616-0010,ISSUED,8664,8655.34,8.66,KZT,EUABFIS,credit,credit 3 months,,
23.09.2023 18:44,538343,0140333269-0043,ISSUED,31593,31561.41,31.59,KZT,EUABFIS,credit,credit 36 months,,
23.09.2023 18:42,538341,0142887787-0001,ISSUED,21404,21382.6,21.4,KZT,HALYK,credit,credit 6 months,,
23.09.2023 18:24,538312,0142789879-0003,ISSUED,50395,50344.6,50.4,KZT,EUABFIS,credit,credit 3 months,,
23.09.2023 18:56,538296,0142440190-0001,REFUNDED,-13687,-13673.31,-13.69,KZT,FASTCASH,credit,credit 12 months,,
23.09.2023 18:15,538296,0142440190-0001,ISSUED,13687,13673.31,13.69,KZT,FASTCASH,credit,credit 12 months,,
23.09.2023 17:45,538247,0142883819-0001,ISSUED,11722,11710.28,11.72,KZT,EUABFIS,credit,credit 3 months,,
23.09.2023 17:40,538233,0142575526-0001,ISSUED,31752,31720.25,31.75,KZT,EUABFIS,credit,credit 3 months,,
23.09.2023 17:36,538224,0142883691-0001,ISSUED,8793,8784.21,8.79,KZT,FASTCASH,credit,credit 12 months,,
23.09.2023 17:07,538163,0142850895-0002,ISSUED,46985,46938.01,46.99,KZT,FASTCASH,credit,credit 12 months,,
23.09.2023 17:05,538159,0138379517-0004,ISSUED,35706,35670.29,35.71,KZT,HALYK,credit,credit 12 months,,
23.09.2023 16:57,538137,0141457308-0007,ISSUED,29201,29171.8,29.2,KZT,FASTCASH,credit,credit 12 months,,
23.09.2023 16:49,538132,0142880491-0001,ISSUED,5412,5406.59,5.41,KZT,FASTCASH,credit,credit 12 months,,
23.09.2023 16:48,538130,81017514-0004,ISSUED,87192,87104.81,87.19,KZT,EUABFIS,credit,credit 36 months,,
23.09.2023 16:14,538044,0130928681-0004,ISSUED,23619,23595.38,23.62,KZT,FASTCASH,credit,credit 12 months,,
23.09.2023 16:09,538025,0141225343-0002,ISSUED,34971,34936.03,34.97,KZT,FASTCASH,credit,credit 12 months,,
23.09.2023 16:09,538023,0140332723-0003,ISSUED,18781,18762.22,18.78,KZT,FASTCASH,credit,credit 12 months,,
23.09.2023 16:08,538021,0129521287-0031,ISSUED,5239,5233.76,5.24,KZT,FASTCASH,credit,credit 12 months,,
23.09.2023 15:53,537958,55713732-0003,ISSUED,85179,85093.82,85.18,KZT,FASTCASH,credit,credit 12 months,,
23.09.2023 15:52,537952,84096766-0016,ISSUED,10976,10965.02,10.98,KZT,FASTCASH,credit,credit 12 months,,
23.09.2023 15:38,537940,04239197-0040,ISSUED,18105,18086.89,18.11,KZT,HALYK,credit,credit 6 months,,
23.09.2023 14:53,537905,0142865337-0007,ISSUED,11530,11518.47,11.53,KZT,HALYK,credit,credit 6 months,,
23.09.2023 14:48,537888,0131842948-0004,ISSUED,51606,51554.39,51.61,KZT,EUABFIS,credit,credit 6 months,,
23.09.2023 14:26,537847,0138554355-0004,ISSUED,13951,13937.05,13.95,KZT,EUABFIS,credit,credit 3 months,,
23.09.2023 12:50,537630,0142865337-0002,ISSUED,7003,6996.0,7.0,KZT,EUABFIS,credit,credit 3 months,,
23.09.2023 12:45,537619,77525068-0007,ISSUED,46136,46089.86,46.14,KZT,EUABFIS,credit,credit 3 months,,
23.09.2023 12:41,537610,0142865371-0001,ISSUED,14760,14745.24,14.76,KZT,EUABFIS,credit,credit 3 months,,
23.09.2023 12:26,537577,83560900-0004,ISSUED,7499,7491.5,7.5,KZT,EUABFIS,credit,credit 3 months,,
23.09.2023 12:21,537565,0132942431-0002,ISSUED,28630,28601.37,28.63,KZT,EUABFIS,credit,credit 6 months,,
23.09.2023 12:00,537532,78824477-0016,ISSUED,16038,16021.96,16.04,KZT,HALYK,credit,credit 6 months,,
23.09.2023 11:55,537523,0142580878-0003,ISSUED,9545,9535.45,9.55,KZT,EUABFIS,credit,credit 3 months,,
23.09.2023 11:46,537503,0141412036-0009,ISSUED,38218,38179.78,38.22,KZT,HALYK,credit,credit 12 months,,
23.09.2023 11:11,537437,0141419119-0013,ISSUED,33669,33635.33,33.67,KZT,EUABFIS,credit,credit 3 months,,
23.09.2023 18:42,537396,0142325776-0005,REFUNDED,-70521,-70450.48,-70.52,KZT,HALYK,credit,credit 36 months,,
23.09.2023 10:47,537396,0142325776-0005,ISSUED,70521,70450.48,70.52,KZT,HALYK,credit,credit 36 months,,
23.09.2023 10:29,537369,0142839455-0003,ISSUED,15154,15138.85,15.15,KZT,FASTCASH,credit,credit 12 months,,
23.09.2023 10:26,537365,92116714-0003,ISSUED,13408,13394.59,13.41,KZT,EUABFIS,credit,credit 3 months,,
23.09.2023 10:17,537349,0141410377-0016,ISSUED,59424,59364.58,59.42,KZT,HALYK,credit,credit 36 months,,
23.09.2023 9:24,537301,0142857453-0002,ISSUED,18814,18795.19,18.81,KZT,FASTCASH,credit,credit 12 months,,
23.09.2023 7:27,537266,0141412036-0008,ISSUED,40084,40043.92,40.08,KZT,HALYK,credit,credit 12 months,,
