TransactionDate,BillNumber,PaymentToken,TypeOperation,Amount,Payment,Fee,Currency,Partner,Product,ProductType
06.12.2023 00:00,594711,0128694257-0018,ISSUED,15426.00,15410.57,15.43,KZT,EUABFIS,credit,credit 24 months
06.12.2023 10:28,660744,0139080402-0001,REFUNDED,-171767.00,-149437.29,-22329.71,KZT,HALYK,installment,installment 12 months
06.12.2023 11:56,661112,0147093092-0010,REFUNDED,-130974.00,-130843.03,-130.97,KZT,HALYK,credit,credit 36 months
06.12.2023 12:00,664381,0148647676-0001,REFUNDED,-97591.00,-97493.41,-97.59,KZT,HOME,credit,credit 6 months
06.12.2023 06:38,667064,0133925967-0016,REFUNDED,-28458.00,-28429.54,-28.46,KZT,HOME,credit,credit 3 months
06.12.2023 06:38,670413,61491139-0005,REFUNDED,-62034.00,-61971.97,-62.03,KZT,HOME,credit,credit 3 months
06.12.2023 09:45,675477,64838251-0006,REFUNDED,-60719.00,-60658.28,-60.72,KZT,HOME,credit,credit 12 months
06.12.2023 15:29,683331,0146009205-0011,REFUNDED,-26318.00,-26291.68,-26.32,KZT,HOME,credit,credit 3 months
06.12.2023 19:18,684867,0148310592-0002,REFUNDED,-19719.00,-19699.28,-19.72,KZT,HOME,credit,credit 3 months
06.12.2023 22:47,685122,0129300196-0021,REFUNDED,-471198.00,-470726.80,-471.20,KZT,HOME,credit,credit 3 months
06.12.2023 20:02,692756,0149525399-0001,REFUNDED,-565700.00,-565134.30,-565.70,KZT,HALYK,credit,credit 36 months
06.12.2023 13:19,692863,0130596815-0004,REFUNDED,-20976.00,-20955.02,-20.98,KZT,HOME,credit,credit 3 months
06.12.2023 20:35,694211,0149183470-0017,REFUNDED,-10959.00,-10948.04,-10.96,KZT,HALYK,credit,credit 6 months
06.12.2023 00:02,694536,0149784329-0004,ISSUED,15037.00,15021.96,15.04,KZT,HALYK,credit,credit 6 months
06.12.2023 00:24,694577,0149784329-0006,ISSUED,19660.00,19640.34,19.66,KZT,HALYK,credit,credit 6 months
06.12.2023 00:25,694581,0149779565-0004,ISSUED,37024.00,36986.98,37.02,KZT,HALYK,credit,credit 12 months
06.12.2023 00:26,694582,0142331382-0002,ISSUED,70484.00,70413.52,70.48,KZT,HALYK,credit,credit 6 months
06.12.2023 00:48,694605,0145644034-0018,ISSUED,87206.00,87118.79,87.21,KZT,HALYK,credit,credit 36 months
06.12.2023 01:06,694632,0146493876-0005,ISSUED,123988.00,123864.01,123.99,KZT,EUABFIS,credit,credit 3 months
06.12.2023 01:09,694636,0149786100-0002,ISSUED,48941.00,48892.06,48.94,KZT,HOME,credit,credit 6 months
06.12.2023 01:30,694667,0149791732-0001,ISSUED,38674.00,38635.33,38.67,KZT,HOME,credit,credit 3 months
06.12.2023 02:23,694709,0148815259-0006,ISSUED,19133.00,19113.87,19.13,KZT,HALYK,credit,credit 6 months
06.12.2023 02:47,694727,0149587402-0009,ISSUED,29608.00,29578.39,29.61,KZT,HALYK,credit,credit 12 months
06.12.2023 03:22,694741,0149587402-0011,ISSUED,12397.00,12384.60,12.40,KZT,HALYK,credit,credit 6 months
06.12.2023 03:37,694750,56328260-0001,ISSUED,18290.00,18271.71,18.29,KZT,FASTCASH,credit,credit 12 months
06.12.2023 05:07,694787,0149798436-0001,ISSUED,10999.00,10988.00,11.00,KZT,HOME,credit,credit 3 months
